Link,Address,Suburb,Beds,Baths,Carpark,Type,Sale Type,Price
https://www.ratemyagent.com.au/real-estate-agency/stone-real-estate-hornsby/property-listings/108-442-peats-ferry-rd-asquith-afvhqs,108/442 Peats Ferry Rd,Asquith NSW 2077,2,2,1,Apartment,Sold by Private Sale  on 14 Feb 2022,"$660,000"
https://www.ratemyagent.com.au/real-estate-agency/trio-property-agency-pty-ltd/property-listings/lv7-12-stanley-street-kogarah-afzpzf,LV7/12 Stanley Street,Kogarah NSW 2217,1,1,,Apartment,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/richardson-wrench-ryde-city/property-listings/610d-5-pope-street-ryde-afxjvq,610D/5 Pope Street,Ryde NSW 2112,2,2,1,Apartment,Sold by Auction  on 14 Feb 2022,"$880,000"
https://www.ratemyagent.com.au/real-estate-agency/belle-property-hornsby/property-listings/7-jordan-cl-mount-colah-afzim4,7 Jordan Cl,Mount Colah NSW 2079,4,3,1,House,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/belle-property-neutral-bay/property-listings/7-72-murdoch-street-cremorne-afyqk0,7/72 Murdoch Street,Cremorne NSW 2090,1,1,,Apartment,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/ray-white-nepean-group-penrith/property-listings/11-5-preston-street-jamisontown-afxrek,11/5 Preston Street,Jamisontown NSW 2750,2,1,1,Unit,Sold by Private Sale  on 14 Feb 2022,"$410,000"
https://www.ratemyagent.com.au/real-estate-agency/first-national-hunters-hill-gladesville-ryde/property-listings/4-17-dick-street-henley-afzcy8,4/17 Dick Street,Henley NSW 2111,1,1,1,Apartment,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/richardson-wrench-bondi-junction/property-listings/13-253-palmer-st-darlinghurst-afyzi1,13/253 Palmer St,Darlinghurst NSW 2010,2,1,,Apartment,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/the-studio-estate-agents/property-listings/3b-kinnane-crescent-acacia-gardens-afxixu,3B Kinnane Crescent,Acacia Gardens NSW 2763,3,1,1,Duplex Semi-detached,Sold by Private Sale  on 14 Feb 2022,"$877,500"
https://www.ratemyagent.com.au/real-estate-agency/manor-real-estate/property-listings/5-kiah-place-baulkham-hills-afykxt,5 Kiah Place,Baulkham Hills NSW 2153,4,2,2,House,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/elders-real-estate-toongabbie/property-listings/3-44-ballandella-road-toongabbie-afydy9,3/44 Ballandella Road,Toongabbie NSW 2146,2,1,1,Villa,Sold by Private Sale  on 14 Feb 2022,"$637,000"
https://www.ratemyagent.com.au/real-estate-agency/harris-tripp/property-listings/17-spencer-st-summer-hill-afy6e6,17 Spencer St,Summer Hill NSW 2130,2,1,1,House,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/sanders-property-agents/property-listings/6-dianthus-pl-jannali-afykug,6 Dianthus Pl,Jannali NSW 2226,3,1,2,House,Sold by Auction  on 14 Feb 2022,"$1,350,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-castle-hill/property-listings/64-fishburn-crescent-castle-hill-afwvgn,64 Fishburn Crescent,Castle Hill NSW 2154,5,2,2,House,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/day-hodgson-real-estate/property-listings/21-poole-st-kingsgrove-afyi5q,21 Poole St,Kingsgrove NSW 2208,3,2,1,House,Sold by Auction  on 14 Feb 2022,"$1,775,000"
https://www.ratemyagent.com.au/real-estate-agency/partridge-realty/property-listings/15-redbank-rd-northmead-afxkyr,15 Redbank Rd,Northmead NSW 2152,4,1,2,House,Sold by Private Sale  on 14 Feb 2022,"$1,450,000"
https://www.ratemyagent.com.au/real-estate-agency/adrian-william/property-listings/145-bedford-street-newtown-afyz2g,145 Bedford Street,Newtown NSW 2042,3,2,1,House,Sold by Auction  on 14 Feb 2022,"$1,775,000"
https://www.ratemyagent.com.au/real-estate-agency/prd-penrith/property-listings/2-166-jamison-road-south-penrith-afvk8n,2/166 Jamison Road,South Penrith NSW 2750,4,2,2,Duplex Semi-detached,Sold by Private Sale  on 14 Feb 2022,"$805,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-lidcombe/property-listings/2-219-auburn-rd-auburn-afxxvc,2/219 Auburn Rd,Auburn NSW 2144,3,3,2,Townhouse,Sold by Private Sale  on 14 Feb 2022,"$850,000"
https://www.ratemyagent.com.au/real-estate-agency/atlas-by-lj-hooker-lower-north-shore/property-listings/13a-elfrida-street-mosman-afzfjg,13A Elfrida Street,Mosman NSW 2088,5,3,2,House,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/ray-white-quakers-hill-the-tesolin-group/property-listings/3-blake-st-quakers-hill-afyqme,3 Blake St,Quakers Hill NSW 2763,3,2,2,House,Sold by Private Sale  on 14 Feb 2022,"$1,115,000"
https://www.ratemyagent.com.au/real-estate-agency/garwoods-estate-agents/property-listings/2-28-moodie-st-cammeray-afyism,2/28 Moodie St,Cammeray NSW 2062,2,1,1,Apartment,Sold by Auction  on 14 Feb 2022,"$945,000"
https://www.ratemyagent.com.au/real-estate-agency/belle-property-pymble/property-listings/53-212-mona-vale-rd-st-ives-afxkoj,53/212 Mona Vale Rd,St Ives NSW 2075,2,2,1,Apartment,Sold by Private Sale  on 14 Feb 2022,"$930,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-cherrybrook-thornleigh-west-pennant-hills/property-listings/36-eucalyptus-drive-westleigh-afyunv,36 Eucalyptus Drive,Westleigh NSW 2120,3,2,2,House,Sold by Private Sale  on 14 Feb 2022,"$1,830,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-caringbah/property-listings/256a-burraneer-bay-road-caringbah-south-afs37y,256A Burraneer Bay Road,Caringbah South NSW 2229,4,3,2,House,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/adrian-william/property-listings/19-97-homer-street-earlwood-afyq1e,19/97 Homer Street,Earlwood NSW 2206,2,1,1,Apartment,Sold by Auction  on 14 Feb 2022,"$825,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-gladesville/property-listings/1-6-punt-rd-gladesville-afxfau,1/6 Punt Rd,Gladesville NSW 2111,2,1,1,Apartment,Sold by Private Sale  on 14 Feb 2022,"$640,000"
https://www.ratemyagent.com.au/real-estate-agency/thank-you-real-estate/property-listings/6208-1a-morton-st-parramatta-afuubt,6208/1A Morton St,Parramatta NSW 2150,1,1,1,Apartment,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/century-21-fairfield/property-listings/2-30-madeline-street-fairfield-west-afxrnc,2/30 Madeline Street,Fairfield West NSW 2165,3,2,1,Duplex Semi-detached,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/ray-white-caringbah/property-listings/21-serpentine-road-gymea-afy7ff,21 Serpentine Road,Gymea NSW 2227,4,2,2,House,Sold by Auction  on 14 Feb 2022,"$1,755,000"
https://www.ratemyagent.com.au/real-estate-agency/manor-real-estate/property-listings/19-312-324-windsor-road-baulkham-hills-afz8jz,19/312-324 Windsor Road,Baulkham Hills NSW 2153,2,1,1,Unit,Sold by Private Sale  on 14 Feb 2022,"$625,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-earlwood/property-listings/10-shackel-avenue-kingsgrove-afz6o6,10 Shackel Avenue,Kingsgrove NSW 2208,5,3,4,House,Sold by Auction  on 14 Feb 2022,"$2,225,000"
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-castle-hill/property-listings/137a-hull-rd-west-pennant-hills-afgdkl,137a Hull Rd,West Pennant Hills NSW 2125,,,,Land,Sold by Private Sale  on 14 Feb 2022,"$1,430,000"
https://www.ratemyagent.com.au/real-estate-agency/belle-property-glebe/property-listings/248-glebe-point-road-glebe-afr5ti,248 Glebe Point Road,Glebe NSW 2037,8,8,3,House,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/saliba-estate-agents/property-listings/24-bungowen-avenue-thornleigh-afzzgb,24 Bungowen Avenue,Thornleigh NSW 2120,3,2,3,House,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/belle-property-pyrmont/property-listings/15d-2-distillery-drive-pyrmont-aftdpw,15D/2 Distillery Drive,Pyrmont NSW 2009,3,2,2,Apartment,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/the-agency-lower-north-shore/property-listings/17-prince-street-mosman-afzhze,17 Prince Street,Mosman NSW 2088,5,3,2,House,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/belle-property-neutral-bay/property-listings/11-143-west-street-crows-nest-afytjr,11/143 West Street,Crows Nest NSW 2065,1,1,1,Apartment,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/holmes-st-clair/property-listings/1-18-mckye-street-waverton-afyhgn,1/18 McKye Street,Waverton NSW 2060,2,1,1,Apartment,Sold by Auction  on 14 Feb 2022,"$1,380,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-merrylands/property-listings/35a-adler-parade-greystanes-afyeja,35A Adler Parade,Greystanes NSW 2145,4,3,1,House,Sold by Private Sale  on 14 Feb 2022,"$1,100,000"
https://www.ratemyagent.com.au/real-estate-agency/marriott-lane-real-estate/property-listings/25-tunks-street-waverton-afzc7c,25 Tunks Street,Waverton NSW 2060,4,2,2,House,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/powered-by-smile-elite-nsw/property-listings/31-gasnier-avenue-kellyville-afu97e,31 Gasnier Avenue,Kellyville NSW 2155,4,2,2,House,Sold by Private Sale  on 14 Feb 2022,"$1,450,000"
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-frenchs-forest/property-listings/153a-prahran-avenue-davidson-afz09y,153A Prahran Avenue,Davidson NSW 2085,3,2,2,House,Sold by Auction  on 14 Feb 2022,"$1,946,000"
https://www.ratemyagent.com.au/real-estate-agency/prd-perez-real-estate-maroubra/property-listings/8-1-3-new-orleans-crescent-maroubra-afy2r2,8/1-3 New Orleans Crescent,Maroubra NSW 2035,1,1,1,Unit,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/the-agency-eastern-suburbs/property-listings/11-23-waratah-ave-randwick-afytyy,11/23 Waratah Ave,Randwick NSW 2031,2,1,,Apartment,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/knapton-property-agents/property-listings/3-48-colin-street-lakemba-afxlmb,3/48 Colin Street,Lakemba NSW 2195,2,1,1,Unit,Sold by Auction  on 14 Feb 2022,"$372,000"
https://www.ratemyagent.com.au/real-estate-agency/doyle-spillane/property-listings/102-stella-street-collaroy-plateau-afynrq,102 Stella Street,Collaroy Plateau NSW 2097,4,3,2,House,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-willoughby/property-listings/6-1a-penkivil-street-willoughby-afzex5,6/1A Penkivil Street,Willoughby NSW 2068,2,2,2,Apartment,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-lower-blue-mountains/property-listings/21-halcyon-avenue-winmalee-afyo6r,21 Halcyon Avenue,Winmalee NSW 2777,4,1,2,House,Sold by Private Sale  on 14 Feb 2022,"$930,000"
https://www.ratemyagent.com.au/real-estate-agency/belle-property-neutral-bay/property-listings/36-cremorne-road-cremorne-point-afz8to,36 Cremorne Road,Cremorne Point NSW 2090,3,2,1,Terrace,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/chidiac-realty/property-listings/603-1-footbridge-boulevard-wentworth-point-afyjoh,603/1 Footbridge Boulevard,Wentworth Point NSW 2127,1,1,1,Apartment,Sold by Private Sale  on 14 Feb 2022,"$592,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-upper-north-shore-wahroonga/property-listings/102-2-10-orara-street-waitara-afyqpm,102/2-10 Orara Street,Waitara NSW 2077,3,2,2,Apartment,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/propertyinsideout/property-listings/6-36-allawah-street-blacktown-afyyno,6/36 Allawah Street,Blacktown NSW 2148,4,2,2,Townhouse,Sold by Private Sale  on 14 Feb 2022,"$870,000"
https://www.ratemyagent.com.au/real-estate-agency/agency/property-listings/37-arinya-street-kingsgrove-afx2u1,37 Arinya Street,Kingsgrove NSW 2208,4,2,1,House,Sold by Private Sale  on 14 Feb 2022,"$1,750,000"
https://www.ratemyagent.com.au/real-estate-agency/ppd-real-estate/property-listings/5-1-ben-eden-st-bondi-junction-afy9xj,5/1 Ben Eden St,Bondi Junction NSW 2022,2,1,1,Apartment,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/belle-property-seaforth/property-listings/4-28-bardo-road-newport-afyp04,4/28 Bardo Road,Newport NSW 2106,2,1,1,Apartment,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/real-homes-realty-jordan-springs/property-listings/5-bellatrix-street-cranebrook-afxqr1,5 Bellatrix Street,Cranebrook NSW 2749,3,2,1,House,Sold by Private Sale  on 14 Feb 2022,"$867,000"
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-crows-nest/property-listings/2-69-shirley-rd-wollstonecraft-afy58k,2/69 Shirley Rd,Wollstonecraft NSW 2065,2,1,1,Apartment,Sold by Auction  on 14 Feb 2022,"$1,115,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-carlingford/property-listings/26a-hornsey-road-homebush-west-afu8kx,26A Hornsey Road,Homebush West NSW 2140,3,3,1,House,Sold by Private Sale  on 14 Feb 2022,"$1,400,000"
https://www.ratemyagent.com.au/real-estate-agency/bresicwhitney-balmain/property-listings/7-church-street-balmain-afzdax,7 Church Street,Balmain NSW 2041,3,2,,House,Sold by Auction  on 14 Feb 2022,"$2,940,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-nepean-group-penrith/property-listings/15-prion-avenue-cranebrook-afzbdr,15 Prion Avenue,Cranebrook NSW 2749,3,2,1,House,Sold by Private Sale  on 14 Feb 2022,"$839,111"
https://www.ratemyagent.com.au/real-estate-agency/orchard-properties/property-listings/19-caulfield-parkway-box-hill-afuxjn,19 Caulfield Parkway,Box Hill NSW 2765,4,3,2,House,Sold by Private Sale  on 14 Feb 2022,"$1,450,000"
https://www.ratemyagent.com.au/real-estate-agency/prdnationwide-realty-kingsgrove/property-listings/37-arinya-street-kingsgrove-afx2u2,37 Arinya Street,Kingsgrove NSW 2208,4,2,1,House,Sold by Private Sale  on 14 Feb 2022,"$1,750,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-macarthur-group-ingleburn/property-listings/5-rossell-place-glenfield-afyvll,5 Rossell Place,Glenfield NSW 2167,3,1,1,House,Sold by Private Sale  on 14 Feb 2022,"$920,000"
https://www.ratemyagent.com.au/real-estate-agency/david-murphy-residential/property-listings/1-21-park-avenue-mosman-afypa5,1/21 Park Avenue,Mosman NSW 2088,2,1,,Apartment,Sold by Auction  on 14 Feb 2022,"$900,000"
https://www.ratemyagent.com.au/real-estate-agency/lj-hooker-camden-bringelly/property-listings/22-mantalini-street-ambarvale-afxndb,22 Mantalini Street,Ambarvale NSW 2560,3,1,2,House,Sold by Private Sale  on 14 Feb 2022,"$810,000"
https://www.ratemyagent.com.au/real-estate-agency/ppd-real-estate/property-listings/3-34-curlewis-st-bondi-beach-afy7x0,3/34 Curlewis St,Bondi Beach NSW 2026,3,2,2,Apartment,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/belle-property-dee-why/property-listings/22-park-street-collaroy-afygov,22 Park Street,Collaroy NSW 2097,4,3,2,House,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/chase-property-group/property-listings/8-414-railway-parade-allawah-afxji1,8/414 Railway Parade,Allawah NSW 2218,2,1,1,Apartment,Sold by Private Sale  on 14 Feb 2022,"$610,000"
https://www.ratemyagent.com.au/real-estate-agency/stone-real-estate-hornsby/property-listings/33-8-park-avenue-waitara-afxh2g,33/8 Park Avenue,Waitara NSW 2077,1,1,1,Apartment,Sold by Private Sale  on 14 Feb 2022,"$594,000"
https://www.ratemyagent.com.au/real-estate-agency/richard-matthews-real-estate/property-listings/28-mackenzie-street-homebush-afy29y,28 MacKenzie Street,Homebush NSW 2140,3,1,3,House,Sold by Auction  on 14 Feb 2022,"$3,000,000"
https://www.ratemyagent.com.au/real-estate-agency/multi-dynamic-pty-ltd-nsw/property-listings/28-webber-circuit-bardia-afy0k9,28 Webber Circuit,Bardia NSW 2565,3,2,1,Duplex Semi-detached,Sold by Private Sale  on 14 Feb 2022,"$845,000"
